instance,best_known,algo_solution,gap,time
tai20b,122455319.0000,271995622.0000,122.1183,2.8686
tai16a,inf,507551.0000,0.0000,1.4802
tho30,149936.0000,199124.0000,32.8060,5.0522
tai256c,44759294.0000,inf,inf,2.5682
tai35a,2422002.0000,2814150.0000,16.1911,9.8437
sko56,34458.0000,41228.0000,19.6471,35.0801
tho150,8133398.0000,9652922.0000,18.6825,676.9820
tai25a,1167256.0000,1373332.0000,17.6547,11.3949
ste36a,9526.0000,14536.0000,52.5929,26.7484
wil50,48816.0000,53980.0000,10.5785,53.2682
tai15a,388214.0000,449404.0000,15.7619,5.9465
sko81,90998.0000,105204.0000,15.6113,162.5145
tai10b,inf,1715225.0000,0.0000,2.3322
sko64,48498.0000,57146.0000,17.8317,89.2826
scr20,110030.0000,166372.0000,51.2060,7.9887
lipa70b,4603200.0000,5914892.0000,28.4952,108.4186
nug20,2570.0000,2968.0000,15.4864,7.5282
sko100d,149576.0000,172410.0000,15.2658,227.7751
sko49,23386.0000,27852.0000,19.0969,49.6195
sko100a,152002.0000,174998.0000,15.1287,244.5191
lipa60b,2520135.0000,3218215.0000,27.7001,83.6759
scr10,inf,50417.0000,0.0000,2.9947
scr15,51140.0000,72834.0000,42.4208,4.5853
nug12,578.0000,672.0000,16.2630,3.1908
nug24,3488.0000,4340.0000,24.4266,10.6144
nug8,inf,238.0000,0.0000,1.5913
nug27,5234.0000,6598.0000,26.0604,14.9655
nug25,3744.0000,4562.0000,21.8483,11.6195
sko100e,149150.0000,172668.0000,15.7680,234.7236
nug30,6124.0000,7594.0000,24.0039,17.7916
nug7,inf,144.0000,0.0000,0.9902
rou20,725522.0000,856424.0000,18.0425,7.8128
lipa60a,107218.0000,109611.0000,2.2319,76.7382
lipa90b,12490441.0000,16073348.0000,28.6852,224.0756
sko42,15812.0000,19218.0000,21.5406,38.8460
sko100b,153890.0000,176318.0000,14.5740,238.2721
rou12,235528.0000,258764.0000,9.8655,3.3670
nug22,3596.0000,4584.0000,27.4750,10.1981
nug28,5166.0000,6214.0000,20.2865,15.4211
sko100f,149036.0000,169704.0000,13.8678,182.4965
sko100c,147862.0000,171180.0000,15.7701,156.8607
nug15,1150.0000,1388.0000,20.6957,1.3940
nug18,1930.0000,2266.0000,17.4093,1.9956
scr12,31410.0000,37602.0000,19.7135,0.9551
nug16a,1610.0000,1902.0000,18.1366,1.5396
nug21,2438.0000,2960.0000,21.4110,2.5124
rou10,inf,529021.0000,0.0000,0.6427
nug16b,1240.0000,1496.0000,20.6452,1.4711
lipa50a,62093.0000,63742.0000,2.6557,17.3862
lipa90a,360630.0000,366932.0000,1.7475,181.8602
nug6,inf,103.0000,0.0000,1.0564
nug17,1732.0000,2096.0000,21.0162,5.6114
nug14,1014.0000,1202.0000,18.5404,4.1305
lipa80b,7763962.0000,9972616.0000,28.4475,160.2607
rou15,354210.0000,406400.0000,14.7342,4.6528
lipa50b,1210244.0000,1534319.0000,26.7777,50.7749
lipa70a,169755.0000,173142.0000,1.9952,110.2793
nug5,inf,59.0000,0.0000,0.7927
lipa80a,253195.0000,257891.0000,1.8547,154.5846
lipa40a,31538.0000,32546.0000,3.1961,28.4560
had20,6922.0000,7396.0000,6.8477,7.3790
lipa20a,3683.0000,3888.0000,5.5661,7.3520
esc64a,116.0000,inf,inf,0.0628
esc8d,inf,10.0000,0.0000,1.6353
esc32h,438.0000,inf,inf,0.0232
kra30a,88900.0000,117580.0000,32.2610,16.1515
had14,2724.0000,2996.0000,9.9853,4.0474
lipa10a,inf,1875.0000,0.0000,2.3204
esc8c,inf,39.0000,0.0000,1.6237
lipa30a,13178.0000,13676.0000,3.7790,16.0878
lipa30b,151426.0000,188644.0000,24.5783,16.0074
had12,1652.0000,1722.0000,4.2373,3.1172
esc8b,inf,13.0000,0.0000,1.6180
lipa20b,27076.0000,33853.0000,25.0295,7.3534
lipa40b,476581.0000,605680.0000,27.0886,29.1766
esc8a,inf,inf,0.0000,0.0040
lipa10b,inf,4211.0000,0.0000,2.2279
kra30b,91420.0000,121280.0000,32.6624,16.0157
had16,3720.0000,4020.0000,8.0645,4.9200
kra32,88900.0000,inf,inf,0.0267
had18,5358.0000,5724.0000,6.8309,6.1351
esc8f,inf,10.0000,0.0000,1.6261
esc32f,2.0000,inf,inf,0.0147
esc32d,200.0000,inf,inf,0.0239
esc32e,2.0000,inf,inf,0.0224
esc16a,68.0000,inf,inf,0.0069
esc32c,642.0000,inf,inf,0.0233
esc16c,160.0000,inf,inf,0.0101
esc8e,inf,4.0000,0.0000,1.7397
chr22a,6156.0000,11358.0000,84.5029,9.1556
bur26g,10117172.0000,10556894.0000,4.3463,12.0578
chr12a,9552.0000,20750.0000,117.2320,2.9786
chr18a,11098.0000,55028.0000,395.8371,6.3352
bur26a,5426670.0000,5683809.0000,4.7384,12.2565
chr20c,14142.0000,80786.0000,471.2488,7.4560
chr15c,9504.0000,38186.0000,301.7887,4.4501
chr18b,1534.0000,2658.0000,73.2725,6.2147
bur26f,3782044.0000,4001292.0000,5.7971,11.9527
bur26d,3821225.0000,3981503.0000,4.1944,12.0207
chr12c,11156.0000,20468.0000,83.4708,3.0506
bur26h,7098658.0000,7382435.0000,3.9976,12.4138
esc16h,996.0000,996.0000,0.0000,5.0597
chr22b,6194.0000,11166.0000,80.2712,8.9865
esc16d,16.0000,inf,inf,0.0112
esc32g,6.0000,inf,inf,0.0105
esc16b,292.0000,inf,inf,0.0891
chr25a,3796.0000,12422.0000,227.2392,11.3782
esc16i,14.0000,inf,inf,0.0070
esc32b,168.0000,inf,inf,0.0218
esc16f,0.0000,inf,inf,0.0029
esc32a,130.0000,inf,inf,0.0249
esc16j,8.0000,inf,inf,0.0056
esc16e,28.0000,inf,inf,0.0080
els19,17212548.0000,28260190.0000,64.1837,7.1806
esc128,64.0000,inf,inf,0.2005
esc16g,26.0000,inf,inf,0.0067
bur26c,5426795.0000,5677737.0000,4.6241,12.0795
chr15a,9896.0000,40522.0000,309.4786,4.4493
bur26b,3817852.0000,4004722.0000,4.8946,11.9745
chr20b,2298.0000,5992.0000,160.7485,7.4366
chr12b,9742.0000,30480.0000,212.8721,3.1772
chr15b,7990.0000,41072.0000,414.0426,4.6455
bur26e,5386879.0000,5646922.0000,4.8273,12.1259
chr20a,2192.0000,7294.0000,232.7555,7.2922
ste36c,8239110.0000,11458614.0000,39.0759,23.2049
tai80a,13499184.0000,15346800.0000,13.6869,150.7902
tai150b,498896643.0000,631079809.0000,26.4951,648.2483
ste36b,15852.0000,40148.0000,153.2677,23.6908
tai6a,inf,35593.0000,0.0000,1.0396
tho40,240516.0000,311350.0000,29.4508,29.5937
tai40a,3139370.0000,3663216.0000,16.6863,30.0405
tai80b,818415043.0000,1143063478.0000,39.6679,156.7883
tai60b,608215054.0000,905890249.0000,48.9424,76.9453
tai60a,7205962.0000,8297536.0000,15.1482,77.4974
tai30b,637117113.0000,1080730064.0000,69.6282,17.2647
sko72,66256.0000,78092.0000,17.8640,120.8777
tai50a,4938796.0000,5736538.0000,16.1526,52.6541
tai20a,703482.0000,835660.0000,18.7891,7.3680
tai25b,344355646.0000,554573022.0000,61.0466,14.4691
tai19a,inf,753941.0000,0.0000,9.8096
tai13a,inf,318189.0000,0.0000,3.8854
sko90,115534.0000,132744.0000,14.8960,233.5567
tai100b,1185996137.0000,1686128810.0000,42.1698,225.6695
tai15b,51765268.0000,275829420.0000,432.8465,4.8000
wil100,273038.0000,296166.0000,8.4706,226.2962
tai50b,458821517.0000,678235708.0000,47.8213,49.1147
tai18a,inf,646341.0000,0.0000,6.5469
