instance,best_known,algo_solution,gap,time
sko49,23386.0000,27710.0000,18.4897,8.8898
tai6a,inf,38050.0000,0.0000,0.1980
nug18,1930.0000,2312.0000,19.7927,1.2146
nug27,5234.0000,6374.0000,21.7807,2.6361
nug20,2570.0000,2970.0000,15.5642,1.5095
bur26e,5386879.0000,5688835.0000,5.6054,2.4511
tai60a,7205962.0000,8296300.0000,15.1311,13.9059
bur26b,3817852.0000,4033580.0000,5.6505,2.4030
tai40b,637250948.0000,952399567.0000,49.4544,5.7093
tai80a,13499184.0000,15249420.0000,12.9655,28.0635
nug21,2438.0000,2992.0000,22.7235,1.6105
tai5a,inf,19349.0000,0.0000,0.1524
esc8a,inf,inf,0.0000,0.0075
tai20a,703482.0000,814372.0000,15.7630,1.4717
esc8f,inf,10.0000,0.0000,0.3051
nug28,5166.0000,6274.0000,21.4479,2.7977
nug17,1732.0000,1984.0000,14.5497,1.0950
tai25b,344355646.0000,661598750.0000,92.1266,2.2492
chr22a,6156.0000,9112.0000,48.0182,1.7509
bur26c,5426795.0000,5718193.0000,5.3696,2.4648
bur26d,3821225.0000,3987876.0000,4.3612,2.4195
esc16h,996.0000,1060.0000,6.4257,1.0464
lipa60a,107218.0000,109669.0000,2.2860,13.8862
tai14a,inf,370945.0000,0.0000,0.7796
esc16f,0.0000,inf,inf,0.0008
rou20,725522.0000,838302.0000,15.5447,1.4621
ste36c,8239110.0000,inf,inf,0.0045
lipa40b,476581.0000,599187.0000,25.7262,5.6749
esc16a,68.0000,82.0000,20.5882,0.9854
lipa80a,253195.0000,257843.0000,1.8357,28.1673
tai12b,39464925.0000,46157947.0000,16.9594,0.6113
chr15a,9896.0000,25478.0000,157.4576,0.8747
kra30a,88900.0000,109890.0000,23.6108,3.1806
lipa20a,3683.0000,3842.0000,4.3171,1.4684
tai17a,491812.0000,570854.0000,16.0716,1.0913
kra32,88900.0000,23694.0000,73.3476,3.5980
ste36b,15852.0000,inf,inf,0.0045
esc16g,26.0000,30.0000,15.3846,0.9783
tai150b,498896643.0000,626417113.0000,25.5605,180.2819
rou10,inf,187006.0000,0.0000,0.4474
esc16i,14.0000,18.0000,28.5714,0.9738
tai50a,4938796.0000,5731482.0000,16.0502,9.1747
tai19a,inf,734792.0000,0.0000,1.3428
esc32d,200.0000,270.0000,35.0000,3.6022
esc32c,642.0000,780.0000,21.4953,3.6200
els19,17212548.0000,19904506.0000,15.6395,1.3387
tai13a,inf,305350.0000,0.0000,0.6776
wil50,48816.0000,54148.0000,10.9226,9.1488
chr12a,9552.0000,17868.0000,87.0603,0.5951
tai15b,51765268.0000,275448041.0000,432.1098,0.8734
