instance,best_known,algo_solution,gap,time
tai20b,122455319.0000,136624346,11.5708,2.4026
tai16a,inf,450724,0.0000,1.5867
tho30,149936.0000,159848,6.6108,4.7536
tai256c,44759294.0000,46422232,3.7153,538.5974
tai35a,2422002.0000,2588280,6.8653,11.9639
sko56,34458.0000,37194,7.9401,29.5901
tho150,8133398.0000,8997046,10.6185,200.4498
tai25a,1167256.0000,1246344,6.7755,6.0640
ste36a,9526.0000,10876,14.1717,14.5711
wil50,48816.0000,50722,3.9045,24.0072
tai15a,388214.0000,390782,0.6615,2.5900
sko81,90998.0000,97554,7.2046,59.8648
tai10b,inf,705719,0.0000,1.4733
sko64,48498.0000,52478,8.2065,44.3883
scr20,110030.0000,114078,3.6790,6.0285
lipa70b,4603200.0000,5714465,24.1411,44.9525
nug20,2570.0000,2702,5.1362,4.2264
sko100d,149576.0000,160496,7.3006,89.1080
sko49,23386.0000,25136,7.4831,22.7940
sko100a,152002.0000,164330,8.1104,94.1159
lipa60b,2520135.0000,3107092,23.2907,18.0544
scr10,inf,25031,0.0000,0.7275
scr15,51140.0000,54834,7.2233,1.3257
nug12,578.0000,600,3.8062,0.9445
nug24,3488.0000,3682,5.5619,3.0998
nug8,inf,188,0.0000,0.7800
nug27,5234.0000,5526,5.5789,5.7448
nug25,3744.0000,3910,4.4338,4.3141
sko100e,149150.0000,161724,8.4304,55.6247
nug30,6124.0000,6574,7.3481,4.8297
nug7,inf,126,0.0000,0.4157
rou20,725522.0000,743398,2.4639,2.3118
lipa60a,107218.0000,108753,1.4317,18.4615
lipa90b,12490441.0000,15671027,25.4642,43.9160
sko42,15812.0000,17030,7.7030,9.0355
sko100b,153890.0000,165202,7.3507,51.9813
rou12,235528.0000,247074,4.9022,1.0038
nug22,3596.0000,3702,2.9477,2.8992
nug28,5166.0000,5402,4.5683,5.4305
sko100f,149036.0000,159852,7.2573,58.5028
sko100c,147862.0000,160292,8.4065,71.1518
nug15,1150.0000,1192,3.6522,1.7759
nug18,1930.0000,1974,2.2798,2.5483
scr12,31410.0000,31410,0.0000,1.1302
nug16a,1610.0000,1708,6.0870,1.9399
nug21,2438.0000,2532,3.8556,2.7011
rou10,inf,165364,0.0000,0.9142
nug16b,1240.0000,1312,5.8065,2.8397
lipa50a,62093.0000,63085,1.5976,16.6920
lipa90a,360630.0000,364810,1.1591,53.7342
nug6,inf,70,0.0000,0.3591
nug17,1732.0000,1834,5.8891,1.4638
nug14,1014.0000,1070,5.5227,1.0438
lipa80b,7763962.0000,9714041,25.1171,39.3846
rou15,354210.0000,367156,3.6549,2.1536
lipa50b,1210244.0000,1458513,20.5140,15.1729
lipa70a,169755.0000,171948,1.2919,32.9854
nug5,inf,41,0.0000,0.2916
