instance,best_known,algo_solution,gap,time
sko49,23386.0000,25158,7.5772,13.2493
tai6a,inf,29648,0.0000,0.3099
nug18,1930.0000,2044,5.9067,1.8062
nug27,5234.0000,5610,7.1838,3.8489
nug20,2570.0000,2708,5.3696,2.1916
bur26e,5386879.0000,5390095,0.0597,3.5866
tai60a,7205962.0000,7807578,8.3489,18.3447
bur26b,3817852.0000,3832381,0.3806,3.5675
tai40b,637250948.0000,735119328,15.3579,8.2229
tai80a,13499184.0000,14583004,8.0288,32.2005
nug21,2438.0000,2548,4.5119,2.3863
tai5a,inf,15443,0.0000,0.2453
esc8a,inf,1,0.0000,0.4566
tai20a,703482.0000,756026,7.4691,2.1731
esc8f,inf,9,0.0000,0.4542
nug28,5166.0000,5476,6.0008,4.1099
nug17,1732.0000,1802,4.0416,1.6040
tai25b,344355646.0000,376099996,9.2185,3.3957
chr22a,6156.0000,7078,14.9773,2.5949
bur26c,5426795.0000,5435841,0.1667,3.5677
bur26d,3821225.0000,3867350,1.2071,3.5640
esc16h,996.0000,996,0.0000,1.4362
lipa60a,107218.0000,108885,1.5548,18.2099
tai14a,inf,344748,0.0000,1.1464
esc16f,0.0000,0,0.0000,1.4491
rou20,725522.0000,755482,4.1294,2.1714
ste36c,8239110.0000,10140582,23.0786,6.6812
lipa40b,476581.0000,573069,20.2459,8.1976
esc16a,68.0000,68,0.0000,1.4387
lipa80a,253195.0000,256275,1.2165,32.3927
tai12b,39464925.0000,39464925,0.0000,0.8712
chr15a,9896.0000,13614,37.5707,1.2772
kra30a,88900.0000,95960,7.9415,4.6915
lipa20a,3683.0000,3793,2.9867,2.1708
tai17a,491812.0000,523762,6.4964,1.6038
kra32,88900.0000,19644,77.9033,5.3335
ste36b,15852.0000,23648,49.1799,6.6818
esc16g,26.0000,26,0.0000,1.4505
tai150b,498896643.0000,579227637,16.1017,112.8296
rou10,inf,166066,0.0000,0.6430
esc16i,14.0000,14,0.0000,1.4388
tai50a,4938796.0000,5316354,7.6447,12.7277
tai19a,inf,661948,0.0000,1.9590
esc32d,200.0000,206,3.0000,5.3206
esc32c,642.0000,646,0.6231,5.3370
els19,17212548.0000,22417466,30.2391,1.9682
tai13a,inf,271076,0.0000,0.9864
wil50,48816.0000,51086,4.6501,12.7561
chr12a,9552.0000,11248,17.7554,0.8666
tai15b,51765268.0000,52160121,0.7628,1.2798
tai35a,2422002.0000,2600324,7.3626,6.3108
esc128,64.0000,144,125.0000,82.0201
tai256c,44759294.0000,47195546,5.4430,327.9847
tai30b,637117113.0000,749650559,17.6629,4.6892
esc32b,168.0000,248,47.6190,5.3143
wil100,273038.0000,285904,4.7122,50.1892
tai10a,inf,131255,0.0000,0.6372
esc32e,2.0000,2,0.0000,5.3124
chr18a,11098.0000,18046,62.6059,1.7956
nug16a,1610.0000,1666,3.4783,1.4372
lipa50a,62093.0000,63179,1.7490,12.8102
chr20c,14142.0000,24342,72.1256,2.4661
lipa70b,4603200.0000,5715686,24.1677,25.5280
nug5,inf,41,0.0000,0.2546
had12,1652.0000,1676,1.4528,0.8905
tai100a,21052466.0000,22800342,8.3025,50.9518
sko90,115534.0000,125510,8.6347,41.1727
sko64,48498.0000,52358,7.9591,21.4897
chr20b,2298.0000,3216,39.9478,2.2349
tai8a,inf,79062,0.0000,0.4572
sko100f,149036.0000,162550,9.0676,51.3904
lipa30b,151426.0000,179196,18.3390,5.1761
