instance,best_known,algo_solution,gap,time
tai20b,122455319.0000,127003944,3.7145,0.3993
tai16a,inf,481710,0.0000,0.2201
tho30,149936.0000,171276,14.2327,0.4541
tai256c,44759294.0000,49081716,9.6570,16.6645
tai35a,2422002.0000,2715938,12.1361,0.5591
sko56,34458.0000,38480,11.6722,1.3491
tho150,8133398.0000,9425486,15.8862,4.5930
tai25a,1167256.0000,1292754,10.7515,0.3570
ste36a,9526.0000,14220,49.2757,0.6167
wil50,48816.0000,52480,7.5057,0.8656
tai15a,388214.0000,404734,4.2554,0.2782
sko81,90998.0000,101334,11.3585,2.4948
tai10b,inf,584478,0.0000,0.1395
sko64,48498.0000,55236,13.8934,1.1049
scr20,110030.0000,127658,16.0211,0.3400
lipa70b,4603200.0000,5849215,27.0685,1.5425
nug20,2570.0000,2750,7.0039,0.3816
sko100d,149576.0000,169200,13.1198,2.1790
sko49,23386.0000,26302,12.4690,0.9743
sko100a,152002.0000,172126,13.2393,2.0931
lipa60b,2520135.0000,3169833,25.7803,1.7661
scr10,inf,27214,0.0000,0.1382
scr15,51140.0000,51140,0.0000,0.3017
nug12,578.0000,578,0.0000,0.2353
nug24,3488.0000,3974,13.9335,0.3560
nug8,inf,202,0.0000,0.0959
nug27,5234.0000,5772,10.2789,0.4859
nug25,3744.0000,4124,10.1496,0.4033
sko100e,149150.0000,169220,13.4563,2.1008
nug30,6124.0000,6794,10.9406,0.5174
nug7,inf,126,0.0000,0.0911
rou20,725522.0000,791714,9.1234,0.3206
lipa60a,107218.0000,109449,2.0808,1.1779
lipa90b,12490441.0000,15958558,27.7662,1.8235
sko42,15812.0000,17916,13.3063,0.7006
sko100b,153890.0000,174498,13.3914,4.0324
rou12,235528.0000,243892,3.5512,0.5947
nug22,3596.0000,3926,9.1769,0.4040
nug28,5166.0000,5794,12.1564,0.8079
sko100f,149036.0000,167350,12.2883,3.5642
sko100c,147862.0000,167424,13.2299,3.9195
nug15,1150.0000,1194,3.8261,0.5498
nug18,1930.0000,2050,6.2176,0.5907
scr12,31410.0000,31410,0.0000,0.4828
nug16a,1610.0000,1644,2.1118,0.5801
nug21,2438.0000,2564,5.1682,0.8178
rou10,inf,168228,0.0000,0.2928
nug16b,1240.0000,1304,5.1613,0.5497
lipa50a,62093.0000,63538,2.3272,1.5471
lipa90a,360630.0000,366086,1.5129,3.3075
nug6,inf,70,0.0000,0.1584
nug17,1732.0000,1790,3.3487,0.6478
nug14,1014.0000,1050,3.5503,0.4829
lipa80b,7763962.0000,9939860,28.0256,2.9370
rou15,354210.0000,382010,7.8485,0.4701
lipa50b,1210244.0000,1506937,24.5151,1.8422
lipa70a,169755.0000,172735,1.7555,3.2643
nug5,inf,41,0.0000,0.2665
lipa80a,253195.0000,257379,1.6525,3.5687
lipa40a,31538.0000,32397,2.7237,1.1821
had20,6922.0000,7138,3.1205,0.5518
lipa20a,3683.0000,3826,3.8827,0.4827
esc64a,116.0000,122,5.1724,6.1737
esc8d,inf,5,0.0000,0.2215
esc32h,438.0000,494,12.7854,1.4190
kra30a,88900.0000,100520,13.0709,1.1901
had14,2724.0000,2724,0.0000,0.6760
lipa10a,inf,427,0.0000,0.3192
esc8c,inf,30,0.0000,0.2255
lipa30a,13178.0000,13597,3.1795,0.8658
lipa30b,151426.0000,184526,21.8589,0.8729
had12,1652.0000,1652,0.0000,0.5280
esc8b,inf,5,0.0000,0.2472
lipa20b,27076.0000,32246,19.0944,0.6047
lipa40b,476581.0000,596093,25.0770,1.2491
esc8a,inf,0,0.0000,0.4278
lipa10b,inf,2026,0.0000,0.2549
kra30b,91420.0000,105240,15.1170,1.0598
had16,3720.0000,3722,0.0538,0.6262
kra32,88900.0000,22688,74.4792,0.8570
had18,5358.0000,5370,0.2240,0.9487
esc8f,inf,9,0.0000,0.2016
esc32f,2.0000,2,0.0000,4.4292
esc32d,200.0000,228,14.0000,1.6872
esc32e,2.0000,2,0.0000,5.9988
esc16a,68.0000,68,0.0000,0.8947
esc32c,642.0000,652,1.5576,1.8708
esc16c,160.0000,160,0.0000,0.7859
esc8e,inf,0,0.0000,0.5225
chr22a,6156.0000,7262,17.9662,1.1118
bur26g,10117172.0000,10251892,1.3316,1.1471
chr12a,9552.0000,10688,11.8928,0.4384
chr18a,11098.0000,21522,93.9268,0.6544
bur26a,5426670.0000,5541117,2.1090,0.6419
chr20c,14142.0000,29568,109.0793,0.6855
chr15c,9504.0000,15456,62.6263,0.5697
chr18b,1534.0000,2058,34.1591,0.5192
bur26f,3782044.0000,3873789,2.4258,0.8294
bur26d,3821225.0000,3901676,2.1054,1.0296
