instance,best_known,algo_solution,gap,time
sko49,23386.0000,26850,14.8123,0.6478
tai6a,inf,29648,0.0000,0.0553
nug18,1930.0000,2018,4.5596,0.2881
nug27,5234.0000,5596,6.9163,0.4813
nug20,2570.0000,2728,6.1479,0.3676
bur26e,5386879.0000,5470152,1.5458,0.3223
tai60a,7205962.0000,8146536,13.0527,0.8984
bur26b,3817852.0000,3862311,1.1645,0.3276
tai40b,637250948.0000,781295256,22.6040,0.5823
tai80a,13499184.0000,15099512,11.8550,1.3575
nug21,2438.0000,2606,6.8909,0.3019
tai5a,inf,15443,0.0000,0.0411
esc8a,inf,0,0.0000,0.1276
tai20a,703482.0000,758286,7.7904,0.3794
esc8f,inf,7,0.0000,0.0868
nug28,5166.0000,5822,12.6984,0.3802
nug17,1732.0000,1796,3.6952,0.2433
tai25b,344355646.0000,425711776,23.6256,0.3213
chr22a,6156.0000,8042,30.6368,0.2471
bur26c,5426795.0000,5492759,1.2155,0.3442
bur26d,3821225.0000,3920931,2.6093,0.2960
esc16h,996.0000,996,0.0000,0.3258
lipa60a,107218.0000,109372,2.0090,0.9521
tai14a,inf,365226,0.0000,0.1317
esc16f,0.0000,0,0.0000,3.4408
rou20,725522.0000,795496,9.6446,0.2710
ste36c,8239110.0000,10250852,24.4170,0.5967
lipa40b,476581.0000,595337,24.9183,0.5571
esc16a,68.0000,68,0.0000,0.3878
lipa80a,253195.0000,257397,1.6596,1.5257
tai12b,39464925.0000,39902713,1.1093,0.1463
chr15a,9896.0000,14894,50.5053,0.1848
kra30a,88900.0000,107520,20.9449,0.4558
lipa20a,3683.0000,3821,3.7469,0.2545
tai17a,491812.0000,534966,8.7745,0.2154
kra32,88900.0000,20710,76.7042,0.5274
ste36b,15852.0000,31946,101.5266,0.5492
esc16g,26.0000,26,0.0000,0.5739
tai150b,498896643.0000,612550815,22.7811,3.5751
rou10,inf,169457,0.0000,0.0943
esc16i,14.0000,14,0.0000,0.4241
tai50a,4938796.0000,5533662,12.0448,0.8341
tai19a,inf,734144,0.0000,0.1893
esc32d,200.0000,232,16.0000,0.7804
esc32c,642.0000,654,1.8692,0.6799
els19,17212548.0000,22742834,32.1294,0.2080
tai13a,inf,294735,0.0000,0.1261
wil50,48816.0000,51932,6.3832,0.8045
chr12a,9552.0000,10214,6.9305,0.1790
tai15b,51765268.0000,52192639,0.8256,0.1778
tai35a,2422002.0000,2738652,13.0739,0.4599
esc128,64.0000,150,134.3750,6.4379
tai256c,44759294.0000,49726536,11.0977,13.3403
