instance,best_known,algo_solution,gap,time
tai20b,122455319.0000,123416507,0.7849,4.2540
tai16a,inf,439136,0.0000,4.9833
tho30,149936.0000,152208,1.5153,4.9670
tai256c,44759294.0000,45187830,0.9574,6.8672
tai35a,2422002.0000,2483812,2.5520,4.9523
sko56,34458.0000,35098,1.8573,4.9252
tho150,8133398.0000,8820222,8.4445,5.8852
tai25a,1167256.0000,1199950,2.8009,4.9474
ste36a,9526.0000,9666,1.4697,4.9433
wil50,48816.0000,49042,0.4630,4.9182
tai15a,388214.0000,389718,0.3874,4.9545
sko81,90998.0000,92292,1.4220,4.9581
tai10b,inf,541109,0.0000,4.9687
sko64,48498.0000,49260,1.5712,4.9387
scr20,110030.0000,110352,0.2926,4.9497
lipa70b,4603200.0000,5544326,20.4450,4.9554
nug20,2570.0000,2580,0.3891,4.9639
sko100d,149576.0000,154782,3.4805,4.9474
sko49,23386.0000,23704,1.3598,4.9381
sko100a,152002.0000,156848,3.1881,4.8868
lipa60b,2520135.0000,3005749,19.2694,4.9388
scr10,inf,22941,0.0000,4.9615
scr15,51140.0000,51140,0.0000,4.9742
nug12,578.0000,578,0.0000,4.9729
nug24,3488.0000,3508,0.5734,4.9468
nug8,inf,188,0.0000,4.9837
nug27,5234.0000,5292,1.1081,4.9797
nug25,3744.0000,3764,0.5342,4.9546
sko100e,149150.0000,154214,3.3952,4.9533
nug30,6124.0000,6184,0.9798,4.9672
nug7,inf,126,0.0000,4.9878
rou20,725522.0000,729736,0.5808,4.9574
lipa60a,107218.0000,108279,0.9896,4.9481
lipa90b,12490441.0000,15274505,22.2896,4.9703
sko42,15812.0000,16014,1.2775,4.9477
sko100b,153890.0000,159314,3.5246,5.8964
rou12,235528.0000,240038,1.9148,4.9634
nug22,3596.0000,3602,0.1669,4.9666
nug28,5166.0000,5218,1.0066,4.9817
sko100f,149036.0000,153448,2.9604,4.9325
sko100c,147862.0000,152852,3.3748,4.9451
nug15,1150.0000,1150,0.0000,4.9864
nug18,1930.0000,1936,0.3109,4.9707
scr12,31410.0000,31410,0.0000,4.9777
nug16a,1610.0000,1622,0.7453,4.9869
nug21,2438.0000,2446,0.3281,4.9749
rou10,inf,165364,0.0000,4.9802
nug16b,1240.0000,1240,0.0000,4.9460
lipa50a,62093.0000,62817,1.1660,4.9470
lipa90a,360630.0000,363492,0.7936,4.9616
nug6,inf,70,0.0000,4.9714
nug17,1732.0000,1734,0.1155,4.9901
nug14,1014.0000,1014,0.0000,4.9779
lipa80b,7763962.0000,9444747,21.6485,4.9547
rou15,354210.0000,359748,1.5635,4.9554
lipa50b,1210244.0000,1427252,17.9309,4.9138
lipa70a,169755.0000,171206,0.8548,4.9450
nug5,inf,41,0.0000,5.0013
